county_name,contest_name,choice,votes
Adams,United States Senator - DEM,Michael Bennet,34581
Adams,Representative to the 118th United States Congress - District 4 - DEM,Ike McCorkle,442
Adams,Representative to the 118th United States Congress - District 6 - DEM,Jason Crow,2101
Adams,Representative to the 118th United States Congress - District 7 - DEM,Brittany Pettersen,285
Adams,Representative to the 118th United States Congress - District 8 - DEM,Yadira Caraveo,27347
Adams,Governor - DEM,Jared Polis,35256
Adams,Secretary of State - DEM,Jena Griswold,33996
Adams,State Treasurer - DEM,Dave Young,33941
Adams,Attorney General - DEM,Phil Weiser,34040
Adams,State Board of Education Member - At Large - DEM,Kathy Plomer,33182
Adams,State Board of Education Member - Congressional District 6 - DEM,Rebecca McClellan,2122
Adams,State Board of Education Member - Congressional District 8 - DEM,Rhonda Solis,30075
Adams,Regent of the University of Colorado - Congressional District 4 - DEM,Jack Barrington,470
Adams,Regent of the University of Colorado - Congressional District 8 - DEM,Yolanda Ortega,16976
Adams,Regent of the University of Colorado - Congressional District 8 - DEM,Rosanna Reyes,13159
Adams,State Senator - District 24 - DEM,Kyle Mullica,11565
Adams,State Senator - District 25 - DEM,Faith Winter,8187
Adams,State Representative - District 24 - DEM,Lindsey N. Daugherty,296
Adams,State Representative - District 29 - DEM,Shannon Bird,4736
Adams,State Representative - District 31 - DEM,Said Sharbini,4859
Adams,State Representative - District 32 - DEM,Dafna Michaelson Jenet,4051
Adams,State Representative - District 33 - DEM,William Lindstedt,1258
Adams,State Representative - District 34 - DEM,Jenny Willford,4679
Adams,State Representative - District 34 - DEM,Sam Nizam,3294
Adams,State Representative - District 35 - DEM,Adrienne Benavidez,5088
Adams,State Representative - District 36 - DEM,Mike Weissman,2107
Adams,State Representative - District 48 - DEM,Spring Erickson,2614
Adams,State Representative - District 56 - DEM,Kathleen J. Conway,572
Adams,Adams County Commissioner - District 3 - DEM,Emma Pinter,33323
Adams,Adams County Commissioner - District 4 - DEM,Steve O'Dorisio,33079
Adams,Adams County Clerk and Recorder - DEM,Josh Zygielbaum,33520
Adams,Adams County Treasurer - DEM,Alex Villagran,33021
Adams,Adams County Assessor - DEM,Ken Musso,33068
Adams,Adams County Sheriff - DEM,Gene Claps,19264
Adams,Adams County Sheriff - DEM,Rick Reigenborn,14951
Adams,Adams County Coroner - DEM,Monica Broncucia-Jordan,33585
Adams,Adams County - United States Senator - REP,Joe O'Dea,18092
Adams,Adams County - United States Senator - REP,Ron Hanks,15715
Adams,Adams County - United States Senator - REP,Daniel Hendricks,22
Adams,Representative to the 118th United States Congress - District 4 - REP,Ken Buck,1517
Adams,Representative to the 118th United States Congress - District 4 - REP,Robert Lewis,597
Adams,Representative to the 118th United States Congress - District 6 - REP,Steven Monahan,918
Adams,Representative to the 118th United States Congress - District 7 - REP,Erik Aadland,82
Adams,Representative to the 118th United States Congress - District 7 - REP,Tim Reichert,64
Adams,Representative to the 118th United States Congress - District 7 - REP,Laurel Imer,39
Adams,Representative to the 118th United States Congress - District 8 - REP,Barbara Kirkmeyer,9556
Adams,Representative to the 118th United States Congress - District 8 - REP,Jan Kulmann,9163
Adams,Representative to the 118th United States Congress - District 8 - REP,Lori A. Saine,5783
Adams,Representative to the 118th United States Congress - District 8 - REP,Tyler Allcorn,5560
Adams,Governor - REP,Heidi Ganahl,18653
Adams,Governor - REP,Greg Lopez,15187
Adams,Secretary of State - REP,Pam Anderson,13216
Adams,Secretary of State - REP,Mike O'Donnell,11033
Adams,Secretary of State - REP,Tina Peters,8784
Adams,State Treasurer - REP,Lang Sias,27481
Adams,Attorney General - REP,John Kellner,27654
Adams,State Board of Education Member - At Large - REP,Dan Maloit,27350
Adams,State Board of Education Member - Congressional District 6 - REP,Molly Lamar,1057
Adams,State Board of Education Member - Congressional District 8 - REP,Peggy Propst,15184
Adams,State Board of Education Member - Congressional District 8 - REP,Cody M. LeBlanc,11819
Adams,Regent of the University of Colorado - Congressional District 4 - REP,Frank McNulty,1773
Adams,Regent of the University of Colorado - Congressional District 8 - REP,Mark VanDriel,13305
Adams,Regent of the University of Colorado - Congressional District 8 - REP,Eric Rinard,12229
Adams,State Senator - District 24 - REP,Courtney Potter,9679
Adams,State Senator - District 25 - REP,Melody Peotter,5692
Adams,State Representative - District 24 - REP,Bill Patterson,153
Adams,State Representative - District 29 - REP,Vanessa DeMott,3470
Adams,State Representative - District 31 - REP,Heidi Pitchforth,3552
Adams,State Representative - District 32 - REP,Justin Brown,3157
Adams,State Representative - District 33 - REP,Stacie Dougherty,1609
Adams,State Representative - District 34 - REP,Kevin Allen,5719
Adams,State Representative - District 35 - REP,Craig Jones,2469
Adams,State Representative - District 36 - REP,William Walters,1055
Adams,State Representative - District 48 - REP,Gabe Evans,3096
Adams,State Representative - District 48 - REP,Terry Lee Robert DeGroot,1146
Adams,State Representative - District 56 - REP,Rod Bockenfeld,1973
Adams,Adams County Commissioner - District 3 - REP,Sean Forest,27343
Adams,Adams County Commissioner - District 4 - REP,Joseph P Domenico,27349
Adams,Adams County Clerk and Recorder - REP,Karen Hoopes,27408
Adams,Adams County Treasurer - REP,Stan Martin,27386
Adams,Adams County Assessor - REP,Hieu Truong Nguyen,26733
Adams,Adams County Sheriff - REP,"Mike ""Mac"" McIntosh",27982
Adams,Adams County Surveyor - REP,Ernie Trujillo,27138
