contest_name,choice,votes
Adams County Ballot Issue 1A,Yes/For,184711
Adams County Ballot Issue 1A,No/Against,38821
Adams County Ballot Issue 1B,Yes/For,165988
Adams County Ballot Issue 1B,No/Against,55437
Adams County Ballot Issue 1C,Yes/For,130556
Adams County Ballot Issue 1C,No/Against,89848
Adams County Commissioner - District 1,Eva Henry,131863
Adams County Commissioner - District 1,"Alexander ""Skinny"" Winkler",90069
Adams County Commissioner - District 2,"Charles ""Chaz"" Tedesco",139855
Adams County Commissioner - District 2,James K. Treibert,57387
Adams County Commissioner - District 5,Lynn Baca,125674
Adams County Commissioner - District 5,Phil Covarrubias,94103
Adams County Court Judge - Flaum,Yes,137561
Adams County Court Judge - Flaum,No,54242
Adams County Court Judge - Kirby,Yes,141310
Adams County Court Judge - Kirby,No,50111
Alamosa County Ambulance District Ballot Question 6A,Yes/For,4175
Alamosa County Ambulance District Ballot Question 6A,No/Against,3089
Alamosa County Ballot Question 1A,No/Against,3717
Alamosa County Ballot Question 1A,Yes/For,3536
Alamosa County Clerk and Recorder,Nicole Jaramillo,4110
Alamosa County Clerk and Recorder,Jaclyn (Gabbel) Hurst,3548
Alamosa County Commissioner - District 1,Lori Laske,4339
Alamosa County Commissioner - District 1,Trudi Kretsinger,3366
Alamosa County Commissioner - District 3,Vern Heersink,3887
Alamosa County Commissioner - District 3,Jan Vigil,3794
Amendment 76 (CONSTITUTIONAL),Yes/For,1978780
Amendment 76 (CONSTITUTIONAL),No/Against,1165793
Amendment 77 (CONSTITUTIONAL),Yes/For,1838148
Amendment 77 (CONSTITUTIONAL),No/Against,1196995
Amendment B (CONSTITUTIONAL),Yes/For,1733352
Amendment B (CONSTITUTIONAL),No/Against,1280842
Amendment C (CONSTITUTIONAL),Yes/For,1578408
Amendment C (CONSTITUTIONAL),No/Against,1436630
Arapahoe County Commissioner - District 1,Carrie Warren-Gully,40440
Arapahoe County Commissioner - District 1,Kathleen Conti,31919
Arapahoe County Commissioner - District 1,Joshua Lallement,2404
Arapahoe County Commissioner - District 3,Jeff Baker,40916
Arapahoe County Commissioner - District 3,Idris Keith,40751
Arapahoe County Commissioner - District 5,Bill Holen,28221
Arapahoe County Commissioner - District 5,Jim Parker,10698
Arapahoe County Commissioner - District 5,Kathryn Martin,3169
Arapahoe County Court Judge - Contiguglia,Yes,218349
Arapahoe County Court Judge - Contiguglia,No,65030
Arapahoe County Court Judge - Ollada,Yes,216902
Arapahoe County Court Judge - Ollada,No,66401
Arapahoe County Court Judge - Williford,Yes,218595
Arapahoe County Court Judge - Williford,No,64330
Arapahoe County School District #6 Littleton Public Schools Ballot Issue 4C,Yes,36084
Arapahoe County School District #6 Littleton Public Schools Ballot Issue 4C,No,26497
Archuleta County Commissioner - District 1,Warren M. Brown,4434
Archuleta County Commissioner - District 1,Clifford Lucero,3440
Archuleta County Commissioner - District 1,Matthew T. Witt,945
Archuleta County Commissioner - District 2,Ronnie Maez,4589
Archuleta County Commissioner - District 2,Natalie Carpenter,4228
Archuleta County Surveyor,Ron Sutcliffe,6369
Aspen School District No. 1 (RE) Ballot Issue 4A,Yes/For,6385
Aspen School District No. 1 (RE) Ballot Issue 4A,No/Against,2365
Aspen Springs Metropolitan District Ballot Issue 6A,No/Against,610
Aspen Springs Metropolitan District Ballot Issue 6A,Yes/For,356
Baca County Commissioner - District 1,"Glen R. ""Spike"" Ausmus",1717
Baca County Commissioner - District 3,Rick Butler,1800
Baseline Water District Ballot Issue 6B,Yes/For,184
Baseline Water District Ballot Issue 6B,No/Against,99
Bent County Commissioner - District 1,Kim MacDonnell,1427
Bent County Commissioner - District 1,Kimberlie D. King,784
Bent County Commissioner - District 3,Jean Sykes,1790
Bent County Court Judge - Vigil,Yes,1580
Bent County Court Judge - Vigil,No,568
Blue Mountain Water District Ballot Issue 6A,Yes/For,219
Blue Mountain Water District Ballot Issue 6A,No/Against,23
Boulder County Commissioner - District 1,Claire Levy,138532
Boulder County Commissioner - District 1,Cinda Kochen,50372
Boulder County Commissioner - District 2,Marta Loachamin,140100
Boulder County Commissioner - District 2,James T. Crowder,48426
Boulder County Court Judge - Martin,Yes,132007
Boulder County Court Judge - Martin,No,23994
Broomfield County Ballot Question 2A,Yes/For,26221
Broomfield County Ballot Question 2A,No/Against,18633
Broomfield County Ballot Question 2B,No/Against,29645
Broomfield County Ballot Question 2B,Yes/For,13261
Broomfield County Ballot Question 2C,Yes/For,24651
Broomfield County Ballot Question 2C,No/Against,18830
Brush RE-2J School District Ballot Issue 3D,Yes/For,1991
Brush RE-2J School District Ballot Issue 3D,No/Against,1844
Buffalo Mountain Metropolitan District Ballot Issue 6A,Yes/For,730
Buffalo Mountain Metropolitan District Ballot Issue 6A,No/Against,391
Byers School District 32J Ballot Issue 5A,Yes,798
Byers School District 32J Ballot Issue 5A,No,768
Calhan Fire Protection District Ballot Issue 7B,Yes/For,1117
Calhan Fire Protection District Ballot Issue 7B,No/Against,624
Carbondale and Rural Fire Protection District Ballot Issue 7B,Yes/For,5640
Carbondale and Rural Fire Protection District Ballot Issue 7B,No/Against,2010
Central Yuma Groundwater Management District Referred Ballot Issue 6B,No/Against,1144
Central Yuma Groundwater Management District Referred Ballot Issue 6B,Yes/For,834
Chaffee County Commissioner - District 1,Keith Baker,7858
Chaffee County Commissioner - District 1,Hannah Hannah,5238
Chaffee County Commissioner - District 1,Bonnie Davis,478
Chaffee County Commissioner - District 2,Greg Felt,10356
Cherry Creek School District No. 5 Ballot Issue 4A,Yes,110443
Cherry Creek School District No. 5 Ballot Issue 4A,No,64038
Cherry Creek School District No. 5 Ballot Issue 4B,Yes,120847
Cherry Creek School District No. 5 Ballot Issue 4B,No,51991
Cheyenne County Commissioner - District 1,R.J. Jolly,1010
Cheyenne County Commissioner - District 3,Darin C. Dickey,538
Cheyenne County Commissioner - District 3,Rick Pelton,517
City and County of Denver Ballot Measure 2A,Yes/For,231174
City and County of Denver Ballot Measure 2A,No/Against,139682
City and County of Denver Ballot Measure 2B,Yes/For,233300
City and County of Denver Ballot Measure 2B,No/Against,138152
City and County of Denver Ballot Measure 2C,Yes/For,190324
City and County of Denver Ballot Measure 2C,No/Against,170351
City and County of Denver Ballot Measure 2D,Yes/For,268129
City and County of Denver Ballot Measure 2D,No/Against,88378
City and County of Denver Ballot Measure 2E,Yes/For,205975
City and County of Denver Ballot Measure 2E,No/Against,148590
City and County of Denver Ballot Measure 2F,Yes/For,300304
City and County of Denver Ballot Measure 2F,No/Against,61312
City and County of Denver Ballot Measure 2G,Yes/For,188713
City and County of Denver Ballot Measure 2G,No/Against,160736
City and County of Denver Ballot Measure 2H,Yes/For,296532
City and County of Denver Ballot Measure 2H,No/Against,64862
City and County of Denver Ballot Measure 2I,No/Against,189271
City and County of Denver Ballot Measure 2I,Yes/For,156105
City and County of Denver Ballot Measure 2J,Yes/For,244005
City and County of Denver Ballot Measure 2J,No/Against,124399
City of Aspen Ballot Issue 2B,Yes/For,3679
City of Aspen Ballot Issue 2B,No/Against,994
City of Black Hawk Ballot Question 2A,Yes,59
City of Black Hawk Ballot Question 2A,No,15
City of Boulder Ballot Issue 2B,Yes/For,33613
City of Boulder Ballot Issue 2B,No/Against,23736
City of Boulder Ballot Question 2C,Yes/For,29456
City of Boulder Ballot Question 2C,No/Against,25821
