county_name,contest_name,choice,votes
Adams,City of Arvada Council Member At-Large,Lisa Smith,369
Adams,City of Arvada Council Member At-Large,Michael P. Griffith,226
Adams,City of Aurora Council Member At-Large,John Ronquillo,2010
Adams,City of Aurora Council Member At-Large,Candice Bailey,1930
Adams,City of Aurora Council Member At-Large,Dustin Zvonek,1314
Adams,City of Aurora Council Member At-Large,Danielle Jurinsky,1173
Adams,City of Aurora Council Member At-Large,Becky Hogan,1044
Adams,City of Aurora Council Member At-Large,Hanna Bogale,727
Adams,City of Aurora Council Member Ward I,Crystal Murillo,1457
Adams,City of Aurora Council Member Ward I,Bill Gondrez,919
Adams,City of Aurora Council Member Ward I,Scott Liva,222
Adams,City of Aurora Council Member Ward II,Steve Sundberg,770
Adams,City of Aurora Council Member Ward II,Bryan Lindstrom,739
Adams,City of Aurora Council Member Ward II,Jessica Giammalvo,277
Adams,City of Aurora Council Member Ward II,Robert Hamilton III,116
Adams,City of Brighton Mayor,Gregory Mills,3531
Adams,City of Brighton Mayor,Laurie D. Lozano Maier,2646
Adams,City of Brighton Mayor,Wayne Scott,1328
Adams,City of Brighton Councilmember Ward 1,Matt Johnston,1387
Adams,City of Brighton Councilmember Ward 1,Norman R. Brown Jr.,663
Adams,City of Brighton Councilmember Ward 2,Ann Taddeo,976
Adams,City of Brighton Councilmember Ward 3,Jan Pawlowski,960
Adams,City of Brighton Councilmember Ward 4,Peter Padilla,1496
Adams,City of Commerce City Councilmember - Ward 1,Oscar Madera,577
Adams,City of Commerce City Councilmember - Ward 1,"Luz E. ""Lucy"" Molina",377
Adams,City of Commerce City Councilmember - Ward 1,Gene Leffel,286
Adams,City of Commerce City Councilmember - Ward 3,Rick Davis,878
Adams,City of Commerce City Councilmember - Ward 3,Cassie Ratliff,810
Adams,City of Commerce City Councilmember - Ward 3,Renee Millard-Chacon,705
Adams,City of Commerce City Councilmember - At Large,Kristi Douglas,2064
Adams,City of Commerce City Councilmember - At Large,Sean Ford,2041
Adams,City of Commerce City Councilmember - At Large,Richard Thompson,2014
Adams,City of Commerce City Councilmember - At Large,Shenika Carter,1853
Adams,City of Commerce City Councilmember - At Large,Robyn Smith,1670
Adams,City of Commerce City Councilmember - At Large,Jose Guardiola,1575
Adams,City of Commerce City Councilmember - At Large,Ramon Alvarado,1515
Adams,City of Commerce City Councilmember - At Large,Paul D. Solano,1221
Adams,City of Northglenn Council Member - Ward 1,Nicholas Walker,1142
Adams,City of Northglenn Council Member - Ward 2,Jay Michael Jaramillo,705
Adams,City of Northglenn Council Member - Ward 2,Gerald Montour,416
Adams,City of Northglenn Council Member - Ward 2,Everett E. Renberg,289
Adams,City of Northglenn Council Member - Ward 3,Julie Duran Mullica,758
Adams,City of Northglenn Council Member - Ward 3,Mark Bromley,510
Adams,City of Northglenn Council Member - Ward 4 - 4 Year Term,Jenny Willford,1295
Adams,City of Northglenn Council Member - Ward 4 - 2 Year Term,Shannon Lukeman-Hiromasa,1258
Adams,City of Thornton Council Member - Ward 1,Kathy Henson,2651
Adams,City of Thornton Council Member - Ward 2,Jessica Sandgren,2708
Adams,City of Thornton Council Member - Ward 2,Roberta Ayala,2202
Adams,City of Thornton Council Member - Ward 3,Tony Unrein,5275
Adams,City of Thornton Council Member - Ward 3,Kate Miya,4207
Adams,City of Thornton Council Member - Ward 4,Karen Bigelow,4375
Adams,City of Thornton Council Member - Ward 4,Angie Bedolla,4236
Adams,City of Westminster Mayor,Nancy McNally,8079
Adams,City of Westminster Mayor,Anita Seitz,7329
Adams,City of Westminster Council Members,Obi Ezeadi,7515
