County,Tabulator ID,Batch,# of Ballot Cards,Location,
Dolores,2,1,25,Ballot Box 1,2
Dolores,2,2,25,Ballot Box 1,2
Dolores,2,3,25,Ballot Box 1,2
Dolores,2,4,25,Ballot Box 1,2
Dolores,2,5,25,Ballot Box 1,2
Dolores,2,6,25,Ballot Box 1,2
Dolores,2,7,25,Ballot Box 1,2
Dolores,2,8,25,Ballot Box 1,2
Dolores,2,9,25,Ballot Box 1,2
Dolores,2,10,25,Ballot Box 1,2
Dolores,2,11,25,Ballot Box 1,2
Dolores,2,12,25,Ballot Box 1,2
Dolores,2,13,25,Ballot Box 1,2
Dolores,2,14,25,Ballot Box 1,2
Dolores,2,15,25,Ballot Box 1,2
Dolores,2,16,25,Ballot Box 1,2
Dolores,2,17,25,Ballot Box 1,2
Dolores,2,18,25,Ballot Box 1,2
Dolores,2,19,25,Ballot Box 1,2
Dolores,2,20,25,Ballot Box 1,2
Dolores,2,21,25,Ballot Box 1,2
Dolores,2,22,25,Ballot Box 1,2
Dolores,2,23,25,Ballot Box 1,2
Dolores,2,24,25,Ballot Box 1,2
Dolores,2,25,25,Ballot Box 1,2
Dolores,2,26,25,Ballot Box 1,2
Dolores,2,27,25,Ballot Box 1,2
Dolores,2,28,25,Ballot Box 1,2
Dolores,2,29,25,Ballot Box 1,2
Dolores,2,30,25,Ballot Box 1,2
Dolores,2,31,25,Ballot Box 1,2
Dolores,2,32,25,Ballot Box 1,2
Dolores,2,33,25,Ballot Box 1,2
Dolores,2,34,25,Ballot Box 1,2
Dolores,2,35,12,Ballot Box 1,2
