County,Tabulator,Batch,# of Ballot,Location
Dolores,102,1,24,Ballot Box 1
Dolores,102,2,25,Ballot Box 1
Dolores,102,3,25,Ballot Box 1
Dolores,102,4,25,Ballot Box 1
Dolores,102,5,25,Ballot Box 1
Dolores,102,6,25,Ballot Box 1
Dolores,102,7,25,Ballot Box 1
Dolores,102,8,26,Ballot Box 1
Dolores,102,9,26,Ballot Box 1
Dolores,102,10,25,Ballot Box 1
Dolores,102,11,25,Ballot Box 1
Dolores,102,12,25,Ballot Box 1
Dolores,102,13,25,Ballot Box 1
Dolores,102,14,25,Ballot Box 1
Dolores,102,15,25,Ballot Box 1
Dolores,102,16,25,Ballot Box 1
Dolores,102,17,25,Ballot Box 1
Dolores,102,18,21,Ballot Box 1
Dolores,102,19,25,Ballot Box 1
Dolores,102,20,25,Ballot Box 1
Dolores,102,21,25,Ballot Box 1
Dolores,102,22,17,Ballot Box 1
Dolores,102,23,25,Ballot Box 1
Dolores,102,24,25,Ballot Box 1
Dolores,102,25,25,Ballot Box 1
Dolores,102,26,25,Ballot Box 1
Dolores,102,27,25,Ballot Box 1
Dolores,102,28,27,Ballot Box 1
Dolores,102,29,2,Ballot Box 1
