county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id,audit_reason
Adams,Adams 12 Five Star School District Director - District No 3,101-1-65,28,"""Juan Evans""","""Juan Evans""",YES,uploaded,"",2025-11-18 09:33:59.346136,844420,
Adams,Adams 12 Five Star School District Director - District No 3,101-16-85,35,"","",YES,uploaded,"",2025-11-18 09:59:19.523036,845943,
Adams,Adams 12 Five Star School District Director - District No 3,101-21-73,33,"""Juan Evans""","""Juan Evans""",YES,uploaded,"",2025-11-18 10:03:02.987321,846391,
Adams,Adams 12 Five Star School District Director - District No 3,101-21-92,30,"""Juan Evans""","""Juan Evans""",YES,uploaded,"",2025-11-18 10:04:01.692525,846381,
Adams,Adams 12 Five Star School District Director - District No 3,101-23-77,30,"""Ike Anyanwu-Ebo""","""Ike Anyanwu-Ebo""",YES,uploaded,"",2025-11-18 10:06:33.194067,846600,
Adams,Adams 12 Five Star School District Director - District No 3,101-25-94,29,"""Juan Evans""","""Juan Evans""",YES,uploaded,"",2025-11-18 10:07:52.127636,846761,
Adams,Adams 12 Five Star School District Director - District No 3,101-32-14,29,"""Ike Anyanwu-Ebo""","""Ike Anyanwu-Ebo""",YES,uploaded,"",2025-11-18 10:11:30.365304,877870,
Adams,Adams 12 Five Star School District Director - District No 3,101-35-55,29,"""Ike Anyanwu-Ebo""","""Ike Anyanwu-Ebo""",YES,uploaded,"",2025-11-18 10:13:29.857723,878231,
Adams,Adams 12 Five Star School District Director - District No 3,101-37-25,29,"""Ike Anyanwu-Ebo""","""Ike Anyanwu-Ebo""",YES,uploaded,"",2025-11-18 10:17:12.314263,878392,
Adams,Adams 12 Five Star School District Director - District No 3,101-45-44,28,"""Ike Anyanwu-Ebo""","""Ike Anyanwu-Ebo""",YES,uploaded,"",2025-11-18 10:23:16.547764,888368,
Adams,Adams 12 Five Star School District Director - District No 3,101-49-51,28,"""Ike Anyanwu-Ebo""","""Ike Anyanwu-Ebo""",YES,uploaded,"",2025-11-18 10:25:29.272128,892034,
Adams,Adams 12 Five Star School District Director - District No 3,101-5-90,29,"""Ike Anyanwu-Ebo""","""Ike Anyanwu-Ebo""",YES,uploaded,"",2025-11-18 09:42:38.671406,844807,
Adams,Adams 12 Five Star School District Director - District No 3,101-6-94,27,"","",YES,uploaded,"",2025-11-18 09:44:31.755546,844970,
Adams,Adams 12 Five Star School District Director - District No 3,101-78-62,28,"""Ike Anyanwu-Ebo""","""Ike Anyanwu-Ebo""",YES,uploaded,"",2025-11-18 10:47:41.532111,943110,
Adams,Adams 12 Five Star School District Director - District No 3,101-82-96,29,"""Juan Evans""","""Juan Evans""",YES,uploaded,"",2025-11-18 10:52:27.34972,945374,
