COUNTY,TABULATOR ID,BATCH ,# OF BALLOTS CARDS,LOCATION
MINERAL,101,1,25,Main
MINERAL,101,2,25,Main
MINERAL,101,3,25,Main
MINERAL,101,4,25,Main
MINERAL,101,5,25,Main
MINERAL,101,6,25,Main
MINERAL,101,7,25,Main
MINERAL,101,8,25,Main
MINERAL,101,9,25,Main
MINERAL,101,10,25,Main
MINERAL,101,11,25,Main
MINERAL,101,12,25,Main
MINERAL,101,13,25,Main
MINERAL,101,14,25,Main
MINERAL,101,15,25,Main
MINERAL,101,16,25,Main
MINERAL,101,17,25,Main
MINERAL,101,18,25,Main
MINERAL,101,19,25,Main
MINERAL,101,20,25,Main
MINERAL,101,21,25,Main
MINERAL,101,22,14,Main
MINERAL,101,23,3,Main
