county_name,contest_name,Product - discrepancy
Adams,Adams 12 Five Star School District Director District No 1,TRUE
,Adams 12 Five Star School District Director District No 2,TRUE
,Adams 12 Five Star School District Director District No 5,TRUE
,Adams-Arapahoe School District 28J Board of Directors,TRUE
,Bennett School District 29J Ballot Issue 5A,TRUE
,Bennett School District 29J School Director at Large,TRUE
,Brighton School District 27J Board of Education Director District No. 1,TRUE
,Brighton School District 27J Board of Education Director District No. 3,TRUE
,Brighton School District 27J Board of Education Director District No. 6,FALSE
,Brighton School District 27J Board of Education Director District No. 7,TRUE
,Buffalo Highlands Metropolitan District Ballot Issue 6A,TRUE
,Buffalo Highlands Metropolitan District Ballot Issue 6B,TRUE
,Buffalo Highlands Metropolitan District Ballot Issue 6C,TRUE
,City of Arvada Council Member At-Large,TRUE
,City of Arvada Council Member District 2,TRUE
,City of Arvada Mayor,TRUE
,City of Aurora Ballot Question 3A,FALSE
,City of Aurora Ballot Question 3B,TRUE
,City of Aurora Ballot Question 3C,TRUE
,City of Aurora Ballot Question 3D,TRUE
,City of Aurora Council Member At-Large,TRUE
,City of Aurora Mayor,TRUE
,City of Brighton Ballot Issue 3F,TRUE
,City of Brighton Councilmember Ward 1,TRUE
,City of Brighton Councilmember Ward 2,TRUE
,City of Brighton Councilmember Ward 3,TRUE
,City of Brighton Councilmember Ward 4,TRUE
,City of Commerce City Ballot Question 3Q,TRUE
,City of Commerce City Ballot Question 3R,TRUE
,City of Commerce City Ballot Question 3S,TRUE
,City of Commerce City Ballot Question 3T,TRUE
,City of Commerce City Councilmember - At Large,TRUE
,City of Commerce City Councilmember - Ward 2,TRUE
,City of Commerce City Councilmember - Ward 3,TRUE
,City of Commerce City Councilmember - Ward 4,TRUE
,City of Commerce City Mayor,TRUE
,City of Northglenn Ballot Issue 3G,TRUE
,City of Northglenn Ballot Question 3H,TRUE
,City of Northglenn Council Member - Ward 1,TRUE
,City of Northglenn Council Member - Ward 2,TRUE
,City of Northglenn Council Member - Ward 3 - 2 Year,TRUE
,City of Northglenn Council Member - Ward 3 - 4 Year,TRUE
