COUNTY,TABULATOR ID,BATCH ,# OF BALLOTS CARDS,LOCATION
CROWLEY,2,1,25,Box 1
CROWLEY,2,2,25,Box 1
CROWLEY,2,3,25,Box 1
CROWLEY,2,4,25,Box 1
CROWLEY,2,5,25,Box 1
CROWLEY,2,6,25,Box 1
CROWLEY,2,7,25,Box 1
CROWLEY,2,8,25,Box 1
CROWLEY,2,9,25,Box 1
CROWLEY,2,10,25,Box 1
CROWLEY,2,11,25,Box 1
CROWLEY,2,12,25,Box 1
CROWLEY,2,13,25,Box 1
CROWLEY,2,14,25,Box 1
CROWLEY,2,15,25,Box 1
CROWLEY,2,16,25,Box 1
CROWLEY,2,17,25,Box 1
CROWLEY,2,18,25,Box 1
CROWLEY,2,19,25,Box 1
CROWLEY,2,20,25,Box 1
CROWLEY,2,21,25,Box 1
CROWLEY,2,22,25,Box 1
CROWLEY,2,23,25,Box 1
CROWLEY,2,24,25,Box 1
CROWLEY,2,25,25,Box 1
CROWLEY,2,26,25,Box 1
CROWLEY,2,27,13,Box 1
CROWLEY,5,1,25,Box 2
CROWLEY,5,2,25,Box 2
CROWLEY,5,3,25,Box 2
CROWLEY,5,4,25,Box 2
CROWLEY,5,5,25,Box 2
CROWLEY,5,6,25,Box 2
CROWLEY,5,7,25,Box 2
CROWLEY,5,8,25,Box 2
CROWLEY,5,9,25,Box 2
CROWLEY,5,10,25,Box 2
CROWLEY,5,11,25,Box 2
CROWLEY,5,12,25,Box 2
CROWLEY,5,13,25,Box 2
CROWLEY,5,14,25,Box 2
CROWLEY,5,15,25,Box 2
CROWLEY,5,16,25,Box 2
CROWLEY,5,17,25,Box 2
CROWLEY,5,18,25,Box 2
CROWLEY,5,19,25,Box 2
CROWLEY,5,20,25,Box 2
CROWLEY,5,21,25,Box 2
CROWLEY,5,22,25,Box 2
CROWLEY,5,23,25,Box 2
CROWLEY,5,24,25,Box 2
CROWLEY,5,25,25,Box 2
CROWLEY,5,26,25,Box 2
CROWLEY,5,27,25,Box 2
CROWLEY,5,28,25,Box 2
CROWLEY,5,29,25,Box 2
CROWLEY,5,30,25,Box 2
CROWLEY,5,31,13,Box 2
