County,Tabulator,Batch #,# of Ballot Cards,Location
Boulder,1,1,149,1
Boulder,1,2,146,1
Boulder,1,3,149,1
Boulder,1,4,150,1
Boulder,1,5,149,1
Boulder,1,6,149,1
Boulder,1,7,148,1
Boulder,1,8,148,1
Boulder,1,9,145,1
Boulder,1,10,150,9
Boulder,1,11,150,9
Boulder,1,12,149,9
Boulder,1,13,149,9
Boulder,1,14,143,9
Boulder,1,15,150,9
Boulder,1,16,149,9
Boulder,1,17,149,9
Boulder,1,18,148,9
Boulder,1,19,150,17
Boulder,1,20,150,17
Boulder,1,21,144,17
Boulder,1,22,149,17
Boulder,1,23,148,17
Boulder,1,24,147,17
Boulder,1,25,149,17
Boulder,1,26,148,17
Boulder,1,27,150,17
Boulder,1,28,150,41
Boulder,1,29,146,41
Boulder,1,30,148,41
Boulder,1,31,149,41
Boulder,1,32,150,41
Boulder,1,33,148,41
Boulder,1,34,148,41
Boulder,1,35,148,41
Boulder,1,36,150,41
Boulder,1,37,147,25
Boulder,1,38,149,25
Boulder,1,39,147,25
Boulder,1,40,149,25
Boulder,1,41,149,25
Boulder,1,42,148,25
Boulder,1,43,147,25
Boulder,1,44,150,25
Boulder,1,45,148,25
Boulder,1,46,148,40
Boulder,1,47,149,40
Boulder,1,48,149,40
Boulder,1,49,149,40
Boulder,1,50,149,40
Boulder,1,51,16,40
Boulder,1,52,150,40
Boulder,1,53,148,40
Boulder,1,54,148,40
Boulder,1,55,148,40
Boulder,1,56,149,48
Boulder,1,57,150,48
Boulder,1,58,148,48
Boulder,1,59,150,48
Boulder,1,60,148,48
Boulder,1,61,147,48
Boulder,1,62,147,48
Boulder,1,63,147,48
Boulder,1,64,148,48
Boulder,1,65,149,49
Boulder,1,66,148,49
Boulder,1,67,172,49
Boulder,1,68,147,49
Boulder,1,69,142,49
Boulder,1,70,143,49
Boulder,1,71,149,49
Boulder,1,72,149,49
Boulder,1,73,149,49
Boulder,1,74,146,57
Boulder,1,75,150,57
Boulder,1,76,150,57
Boulder,1,77,129,57
Boulder,1,78,149,57
Boulder,1,79,150,57
Boulder,1,80,149,57
Boulder,1,81,150,57
Boulder,1,82,150,57
Boulder,1,83,148,58
Boulder,1,84,150,58
Boulder,1,85,150,58
Boulder,1,86,149,58
Boulder,1,87,148,58
Boulder,1,88,148,58
Boulder,1,89,150,58
Boulder,1,90,148,58
Boulder,1,91,147,61
Boulder,1,92,148,61
Boulder,1,93,150,61
Boulder,1,94,149,61
Boulder,1,95,143,61
Boulder,1,96,149,61
Boulder,1,97,147,61
Boulder,1,98,149,61
Boulder,1,99,149,61
Boulder,1,100,149,61
Boulder,1,101,150,71
Boulder,1,102,150,71
Boulder,1,103,147,71
Boulder,1,104,150,71
Boulder,1,105,149,71
Boulder,1,106,146,71
Boulder,1,107,148,71
Boulder,1,108,149,71
Boulder,1,109,149,71
Boulder,1,110,150,78
Boulder,1,111,148,78
Boulder,1,112,149,78
Boulder,1,113,150,78
Boulder,1,114,150,78
Boulder,1,115,150,78
Boulder,1,116,149,78
Boulder,1,117,149,78
Boulder,1,118,150,78
Boulder,1,119,149,84
Boulder,1,120,150,84
Boulder,1,121,150,84
Boulder,1,122,150,84
Boulder,1,123,150,84
Boulder,1,124,150,84
Boulder,1,125,148,84
Boulder,1,126,146,84
Boulder,1,127,40,84
Boulder,1,128,8,84
Boulder,1,129,3,84
Boulder,1,130,4,84
Boulder,1,131,434,69
Boulder,2,1,148,2
Boulder,2,2,149,2
Boulder,2,3,149,2
Boulder,2,4,127,2
Boulder,2,5,147,2
Boulder,2,6,145,2
Boulder,2,7,140,2
Boulder,2,8,135,2
Boulder,2,9,148,2
Boulder,2,10,148,10
Boulder,2,11,148,10
Boulder,2,12,149,10
Boulder,2,13,149,10
Boulder,2,14,148,10
Boulder,2,15,147,10
Boulder,2,16,146,10
Boulder,2,17,148,10
Boulder,2,18,149,10
Boulder,2,19,149,18
Boulder,2,20,147,18
Boulder,2,21,149,18
Boulder,2,22,147,18
Boulder,2,23,150,18
Boulder,2,24,149,18
Boulder,2,25,147,18
Boulder,2,26,150,18
Boulder,2,27,149,18
Boulder,2,28,149,36
Boulder,2,29,148,36
Boulder,2,30,149,36
Boulder,2,31,149,36
Boulder,2,32,147,36
Boulder,2,33,149,36
Boulder,2,34,149,36
Boulder,2,35,149,36
Boulder,2,36,146,36
Boulder,2,37,148,26
Boulder,2,38,0,
Boulder,2,39,16,26
Boulder,2,40,144,26
Boulder,2,41,148,26
Boulder,2,42,149,26
Boulder,2,43,150,26
Boulder,2,44,146,26
Boulder,2,45,150,26
Boulder,2,46,148,26
Boulder,2,47,148,26
Boulder,2,48,149,42
Boulder,2,49,146,42
Boulder,2,50,149,42
Boulder,2,51,150,42
Boulder,2,52,148,42
Boulder,2,53,144,42
Boulder,2,54,149,42
Boulder,2,55,149,42
Boulder,2,56,150,42
Boulder,2,57,149,50
Boulder,2,58,150,50
Boulder,2,59,150,50
Boulder,2,60,149,50
Boulder,2,61,149,50
Boulder,2,62,150,50
Boulder,2,63,150,50
Boulder,2,64,149,50
Boulder,2,65,148,50
Boulder,2,66,92,63
Boulder,2,67,149,63
Boulder,3,1,150,3
Boulder,3,2,149,3
Boulder,3,3,149,3
Boulder,3,4,149,3
Boulder,3,5,149,3
Boulder,3,6,150,3
Boulder,3,7,147,3
Boulder,3,8,150,3
Boulder,3,9,147,3
Boulder,3,10,149,11
Boulder,3,11,149,11
Boulder,3,12,148,11
Boulder,3,13,149,11
Boulder,3,14,146,11
Boulder,3,15,149,11
Boulder,3,16,147,11
Boulder,3,17,149,11
Boulder,3,18,148,11
Boulder,3,19,149,19
