COUNTY,TABULATOR ID,BATCH ,# OF BALLOTS CARDS,LOCATION
CROWLEY,2,1,25,2
CROWLEY,2,2,25,2
CROWLEY,2,3,25,2
CROWLEY,2,4,25,2
CROWLEY,2,5,25,2
CROWLEY,2,6,25,2
CROWLEY,2,7,25,2
CROWLEY,2,8,25,2
CROWLEY,2,9,25,2
CROWLEY,2,10,25,2
CROWLEY,2,11,25,2
CROWLEY,2,12,25,2
CROWLEY,2,13,25,2
CROWLEY,2,14,25,2
CROWLEY,2,15,25,2
CROWLEY,2,16,25,2
CROWLEY,2,17,25,2
CROWLEY,2,18,25,2
CROWLEY,2,19,20,2
CROWLEY,2,20,12,2
CROWLEY,4,1,25,1
CROWLEY,4,2,25,1
CROWLEY,4,3,25,1
CROWLEY,4,4,25,1
CROWLEY,4,5,25,1
CROWLEY,4,6,25,1
CROWLEY,4,7,25,1
CROWLEY,4,8,25,1
CROWLEY,4,9,25,1
CROWLEY,4,10,25,1
CROWLEY,4,11,25,1
CROWLEY,4,12,25,1
CROWLEY,4,13,25,1
CROWLEY,4,14,25,1
CROWLEY,4,15,25,1
CROWLEY,4,16,25,1
CROWLEY,4,17,25,1
CROWLEY,4,18,25,1
