County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,
Baca,2,1,25,BCC-1,,,,,,
Baca,2,2,25,BCC-1,,,,,,
Baca,2,3,25,BCC-1,,,,,,
Baca,2,4,25,BCC-1,,,,,,
Baca,2,5,25,BCC-1,,,,,,
Baca,2,6,25,BCC-1,,,,,,
Baca,2,7,25,BCC-1,,,,,,
Baca,2,8,25,BCC-1,,,,,,
Baca,2,9,25,BCC-1,,,,,,
Baca,2,10,25,BCC-1,,,,,,
Baca,2,11,25,BCC-1,,,,,,
Baca,2,12,25,BCC-1,,,,,,
Baca,2,13,25,BCC-1,,,,,,
Baca,2,14,25,BCC-1,,,,,,
Baca,2,15,25,BCC-1,,,,,,
Baca,2,16,25,BCC-1,,,,,,
Baca,2,17,25,BCC-1,,,,,,
Baca,2,18,25,BCC-1,,,,,,
Baca,2,19,25,BCC-1,,,,,,
Baca,2,20,25,BCC-1,,,,,,
Baca,2,21,25,BCC-1,,,,,,
Baca,2,22,25,BCC-1,,,,,,
Baca,2,23,25,BCC-1,,,,,,
Baca,2,24,25,BCC-1,,,,,,
Baca,2,25,25,BCC-1,,,,,,
Baca,2,26,25,BCC-1,,,,,,
Baca,2,27,25,BCC-1,,,,,,
Baca,2,28,25,BCC-1,,,,,,
Baca,2,29,25,BCC-1,,,,,,
Baca,2,30,25,BCC-1,,,,,,
Baca,2,31,25,BCC-1,,,,,,
Baca,2,32,25,BCC-1,,,,,,
Baca,2,33,25,BCC-1,,,,,,
Baca,2,34,25,BCC-1,,,,,,
Baca,2,35,25,BCC-1,,,,,,
Baca,2,36,25,BCC-1,,,,,,
Baca,2,37,25,BCC-1,,,,,,
Baca,2,38,25,BCC-1,,,,,,
Baca,2,39,25,BCC-1,,,,,,
Baca,2,40,25,BCC-1,,,,,,
Baca,2,41,25,BCC-1,,,,,,
Baca,2,42,25,BCC-1,,,,,,
Baca,2,43,25,BCC-1,,,,,,
Baca,2,44,25,BCC-1,,,,,,
Baca,2,45,25,BCC-1,,,,,,
Baca,2,46,25,BCC-1,,,,,,
Baca,2,47,25,BCC-1,,,,,,
Baca,2,48,25,BCC-1,,,,,,
Baca,2,49,25,BCC-1,,,,,,
Baca,2,50,25,BCC-1,,,,,,
Baca,2,51,25,BCC-1,,,,,,
Baca,2,52,25,BCC-1,,,,,,
Baca,2,53,25,BCC-1,,,,,,
Baca,2,54,26,BCC-1,,,,,,
