CountyName,ContestName,ContestChoices
Adams,Adams County Assessor,"Hieu Truong Nguyen, Ken Musso"
Adams,Adams County Clerk and Recorder,"Josh Zygielbaum, Karen Hoopes"
Adams,Adams County Commissioner - District 3,"Emma Pinter, Sean Forest"
Adams,Adams County Commissioner - District 4,"Joseph P Domenico, Steve O'Dorisio"
Adams,Adams County Coroner,"David A. Shaklee, Monica Broncucia-Jordan"
Adams,Adams County Court Judge- Vielma,"No, Yes"
Adams,Adams County School District No. 1 4A,"No/Against, Yes/For"
Adams,Adams County Sheriff,"Gene Claps, Mike ""Mac"" McIntosh"
Adams,Adams County Surveyor,There are no candidates for this office.
Adams,Adams County Treasurer,"Alex Villagran, Lisa Culpepper, Stan Martin"
Adams,Amendment D (Constitutional),"No/Against, Yes/For"
Alamosa,Amendment D (Constitutional),"No/Against, Yes/For"
Arapahoe,Amendment D (Constitutional),"No/Against, Yes/For"
Adams,Attorney General,"John Kellner, Phil Weiser, Stanley Thorne, William F. Robinson III"
Adams,Bennett School District 29J Ballot Issue 5A,"No/Against, Yes/For"
Adams,City of Aurora Ballot Question 3A,"No/Against, Yes/For"
Adams,City of Brighton Councilmember Ward 1,"Marisa Nickerson, Sherri Pollack, Tom Green"
Adams,Colorado Court of Appeals Judge - Brown,"No, Yes"
Alamosa,Colorado Court of Appeals Judge - Brown,"No, Yes"
Arapahoe,Colorado Court of Appeals Judge - Brown,"No, Yes"
Archuleta,Colorado Court of Appeals Judge - Brown,"No, Yes"
Baca,Colorado Court of Appeals Judge - Brown,"No, Yes"
Bent,Colorado Court of Appeals Judge - Brown,"No, Yes"
Boulder,Colorado Court of Appeals Judge - Brown,"No, Yes"
Broomfield,Colorado Court of Appeals Judge - Brown,"No, Yes"
Adams,Colorado International Center Metropolitan District No. 3 6B,"No/Against, Yes/For"
Adams,Colorado International Center Metropolitan District No. 3 6C,"No/Against, Yes/For"
Adams,Colorado International Center Metropolitan District No. 3 6D,"No/Against, Yes/For"
Adams,District Court Judge - 17th Judicial District - Lieberman,"No, Yes"
Adams,District Court Judge - 17th Judicial District - McIntyre,"No, Yes"
Adams,District Court Judge - 17th Judicial District - Pugh,"No, Yes"
Adams,District Court Judge - 17th Judicial District - Seedorf,"No, Yes"
Adams,District Court Judge - 17th Judicial District - Smith,"No, Yes"
Adams,Governor/Lieutenant Governor,"Danielle Neuschwanger / Darryl Gibbs, Heidi Ganahl / Danny Moore, Jared Polis / Dianne Primavera, Kevin Ruskusky / Michele Poague, Paul Noël Fiorino / Cynthia Munhos de Aquino Sirianni, Paul Willmon / Kathren May, Zachary Varon / Sean Hoyt"
Weld,City of Brighton Councilmember Ward 1,"Marisa Nickerson, Sherri Pollack, Tom Green"
Adams,Hyland Hills Park and Recreation District 6A,"No/Against, Yes/For"
Alamosa,Alamosa County - District Attorney - 12th Judicial District,"Anne Kelly, Robert S. (Bob) Willett"
Conejos,District Attorney - 12th Judicial District,"Anne Kelly, Robert S. (Bob) Willett"
Costilla,District Attorney - 12th Judicial District,"Anne Kelly, Robert S. (Bob) Willett"
Mineral,District Attorney - 12th Judicial District,"Anne Kelly, Robert S. (Bob) Willett"
Rio Grande,District Attorney - 12th Judicial District,"Anne Kelly, Robert S. (Bob) Willett"
Saguache,District Attorney - 12th Judicial District,"Anne Kelly, Robert S. (Bob) Willett"
Alamosa,District Court Judge - 12th Judicial District - Newmyer-Olsen,"No, Yes"
Conejos,District Court Judge - 12th Judicial District - Newmyer-Olsen,"No, Yes"
Arapahoe,Regent of the University of Colorado - Congressional District 1,"Amy Naes, Ben Pope, Wanda L. James"
Denver,Regent of the University of Colorado - Congressional District 1,"Amy Naes, Ben Pope, Wanda L. James"
Adams,Regional Transportation District Director - District B,JoyAnn Keener Ruscha
Denver,Regional Transportation District Director - District B,JoyAnn Keener Ruscha
Denver,Regional Transportation District Director - District C,Michael Guzman
Adams,Regional Transportation District Director - District I,Erik Davidson
Boulder,Regional Transportation District Director - District I,Erik Davidson
Arapahoe,Representative to the 118th United States Congress - District 1,"Diana DeGette, Iris Boswell, Jennifer Qualteri, John C Kittleson"
Denver,Representative to the 118th United States Congress - District 1,"Diana DeGette, Iris Boswell, Jennifer Qualteri, John C Kittleson"
Jefferson,Representative to the 118th United States Congress - District 1,"Diana DeGette, Iris Boswell, Jennifer Qualteri, John C Kittleson"
Boulder,Representative to the 118th United States Congress - District 2,"Gary L. Nation, Joe Neguse, Marshall Dawson, Steve Yurash, Tim Wolf"
Adams,SCHOOL DISTRICT 27J 5B,"No/Against, Yes/For"
Adams,Secretary of State,"Amanda Campbell, Bennett Rutledge, Gary Swing, Jan Kok, Jena Griswold, Pam Anderson"
Adams,State Board of Education Member - At Large,"Dan Maloit, Eric Bodenstab, Kathy Plomer, Ryan Van Gundy"
Alamosa,State Board of Education Member - At Large,"Dan Maloit, Eric Bodenstab, Kathy Plomer, Ryan Van Gundy"
Arapahoe,State Board of Education Member - At Large,"Dan Maloit, Eric Bodenstab, Kathy Plomer, Ryan Van Gundy"
Denver,State Representative - District 1,"Guillermo Diaz, Javier Mabrey, Kyle Furey"
Jefferson,State Representative - District 1,"Guillermo Diaz, Javier Mabrey, Kyle Furey"
Boulder,State Representative - District 10,"Junie Joseph, William B. DeOreo"
Boulder,State Representative - District 11,"Karen McCormick, Tara Menza"
Boulder,State Representative - District 12,"Anya Kirvan, Tracey Bernett"
Broomfield,State Representative - District 12,"Anya Kirvan, Tracey Bernett"
Chaffee,State Representative - District 13,"David Buckley, Julie McCluskie"
Grand,State Representative - District 13,"David Buckley, Julie McCluskie"
Jackson,State Representative - District 13,"David Buckley, Julie McCluskie"
Lake,State Representative - District 13,"David Buckley, Julie McCluskie"
Logan,State Senator - District 1,Byron Pelton
Morgan,State Senator - District 1,Byron Pelton
Adams,State Treasurer,"Anthony J. Delgado, Dave Young, Lang Sias"
Adams,Town of Lochbuie - Home Rule Charter Commission,"Brent Wescott, Carole L Upton, David Ott, Erin T. Mahoney, James Characky Jr., Jonathan Shortt, Larry Strock, Michael Mahoney, Peggy Tapey"
Weld,Town of Lochbuie - Home Rule Charter Commission,"Brent Wescott, Carole L Upton, David Ott, Erin T. Mahoney, James Characky Jr., Jonathan Shortt, Larry Strock, Michael Mahoney, Peggy Tapey"
Adams,Town of Lochbuie Ballot Question 3J,"No/Against, Yes/For"
Clear Creek,Representative to the 118th United States Congress - District 2,"Gary L. Nation, Joe Neguse, Marshall Dawson, Steve Yurash, Tim Wolf"
Alamosa,Alamosa County Assessor,Sandra J. Hostetter
Alamosa,Alamosa County Clerk and Recorder,Mari Felix
Alamosa,Alamosa County Commissioner - District 2,Arlan Van Ry
Alamosa,Alamosa County Coroner,Joe Dzuris
Alamosa,Alamosa County Sheriff,Robert Jackson
Alamosa,Alamosa County Surveyor,Daniel M. Russell
Alamosa,Alamosa County Treasurer,Amy McKinley
Archuleta,Amendment D (Constitutional),"No/Against, Yes/For"
Baca,Amendment D (Constitutional),"No/Against, Yes/For"
Bent,Amendment D (Constitutional),"No/Against, Yes/For"
Alamosa,Attorney General,"John Kellner, Phil Weiser, Stanley Thorne, William F. Robinson III"
Chaffee,Colorado Court of Appeals Judge - Brown,"No, Yes"
Cheyenne,Colorado Court of Appeals Judge - Brown,"No, Yes"
Clear Creek,Colorado Court of Appeals Judge - Brown,"No, Yes"
Conejos,Colorado Court of Appeals Judge - Brown,"No, Yes"
Costilla,Colorado Court of Appeals Judge - Brown,"No, Yes"
Crowley,Colorado Court of Appeals Judge - Brown,"No, Yes"
Custer,Colorado Court of Appeals Judge - Brown,"No, Yes"
Delta,Colorado Court of Appeals Judge - Brown,"No, Yes"
Alamosa,County Court Judge - Walzl,"No, Yes"
Costilla,District Court Judge - 12th Judicial District - Newmyer-Olsen,"No, Yes"
Mineral,District Court Judge - 12th Judicial District - Newmyer-Olsen,"No, Yes"
Alamosa,Governor/Lieutenant Governor,"Danielle Neuschwanger / Darryl Gibbs, Heidi Ganahl / Danny Moore, Jared Polis / Dianne Primavera, Kevin Ruskusky / Michele Poague, Paul Noël Fiorino / Cynthia Munhos de Aquino Sirianni, Paul Willmon / Kathren May, Zachary Varon / Sean Hoyt"
Rio Grande,District Court Judge - 12th Judicial District - Newmyer-Olsen,"No, Yes"
Saguache,District Court Judge - 12th Judicial District - Newmyer-Olsen,"No, Yes"
Crowley,Crowley County - Proposition FF (Statutory),"No/Against, Yes/For"
Elbert,Elbert County - Proposition 125 (Statutory),"No/Against, Yes/For"
Fremont,Fremont County - Proposition FF (Statutory),"No/Against, Yes/For"
Gunnison,Gunnison County - Proposition 125 (Statutory),"No/Against, Yes/For"
Jackson,Jackson County - Proposition GG (Statutory),"No/Against, Yes/For"
Lincoln,Lincoln County - Proposition GG (Statutory),"No/Against, Yes/For"
Eagle,Representative to the 118th United States Congress - District 2,"Gary L. Nation, Joe Neguse, Marshall Dawson, Steve Yurash, Tim Wolf"
Alamosa,Sargent School District RE-33J District Director Recall Question,"No, Yes"
Rio Grande,Sargent School District RE-33J District Director Recall Question,"No, Yes"
Alamosa,Secretary of State,"Amanda Campbell, Bennett Rutledge, Gary Swing, Jan Kok, Jena Griswold, Pam Anderson"
Archuleta,State Board of Education Member - At Large,"Dan Maloit, Eric Bodenstab, Kathy Plomer, Ryan Van Gundy"
Park,State Representative - District 13,"David Buckley, Julie McCluskie"
Alamosa,State Treasurer,"Anthony J. Delgado, Dave Young, Lang Sias"
Gilpin,Representative to the 118th United States Congress - District 2,"Gary L. Nation, Joe Neguse, Marshall Dawson, Steve Yurash, Tim Wolf"
Boulder,Amendment D (Constitutional),"No/Against, Yes/For"
Broomfield,Amendment D (Constitutional),"No/Against, Yes/For"
Chaffee,Amendment D (Constitutional),"No/Against, Yes/For"
Arapahoe,Arapahoe County Assessor,"Bob Andrews, Joshua Lallement, PK Kaiser"
Arapahoe,Arapahoe County Clerk and Recorder,"Caroline Cornell, Joan Lopez"
Arapahoe,Arapahoe County Commissioner - District 2,"Jessica Campbell-Swanson, Mark Gotto"
Arapahoe,Arapahoe County Commissioner - District 4,"Bob Roth, Leslie Summey"
Arapahoe,Arapahoe County Coroner,"Kat Martin, Kelly C. Lear, Ron Bouchard"
Arapahoe,Arapahoe County Court Judge-Clark,"No, Yes"
Arapahoe,Arapahoe County Court Judge-LaFave,"No, Yes"
Arapahoe,Arapahoe County Court Judge-Roche,"No, Yes"
Arapahoe,Arapahoe County Court Judge-Rowles-Stokes,"No, Yes"
Arapahoe,Arapahoe County Sheriff,"Kevin S. Edling, Scott Alan Liva, Tyler Scott Brown"
Arapahoe,Arapahoe County Treasurer,"Marsha Berzins, Michael Roger Westerberg"
Arapahoe,Attorney General,"John Kellner, Phil Weiser, Stanley Thorne, William F. Robinson III"
Arapahoe,Bennett School District 29J Ballot Issue 5A,"No/Against, Yes/For"
Arapahoe,City of Aurora Ballot Question 3A,"No/Against, Yes/For"
Arapahoe,City of Centennial Ballot Issue 2L,"No/Against, Yes/For"
Arapahoe,City of Cherry Hills Village Ballot Issue 2A,"No/Against, Yes/For"
Arapahoe,City of Cherry Hills Village Ballot Question 300,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Issue 2B,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Issue 2C,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Question 2D,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Question 2E,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Question 2F,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Question 2G,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Question 2H,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Question 2I,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Question 2J,"No/Against, Yes/For"
Arapahoe,City of Englewood Ballot Question 2K,"No/Against, Yes/For"
Arapahoe,City of Littleton Ballot Issue 3B,"No/Against, Yes/For"
Douglas,City of Littleton Ballot Issue 3B,"No/Against, Yes/For"
Jefferson,City of Littleton Ballot Issue 3B,"No/Against, Yes/For"
Denver,Colorado Court of Appeals Judge - Brown,"No, Yes"
Dolores,Colorado Court of Appeals Judge - Brown,"No, Yes"
Douglas,Colorado Court of Appeals Judge - Brown,"No, Yes"
Eagle,Colorado Court of Appeals Judge - Brown,"No, Yes"
El Paso,Colorado Court of Appeals Judge - Brown,"No, Yes"
Elbert,Colorado Court of Appeals Judge - Brown,"No, Yes"
Fremont,Colorado Court of Appeals Judge - Brown,"No, Yes"
Garfield,Colorado Court of Appeals Judge - Brown,"No, Yes"
Arapahoe,Councilmember District 2,"Earl Hoellen, Tory Leviton"
Arapahoe,Councilmember District 4,"Mark Williams, Susan Maguire"
Arapahoe,Councilmember District 6,"Robert Eber, Tom Conroy"
Arapahoe,District Court Judge - 18th Judicial District - Holmes,"No, Yes"
Arapahoe,District Court Judge - 18th Judicial District - Hurst,"No, Yes"
Arapahoe,District Court Judge - 18th Judicial District - Stuart,"No, Yes"
Arapahoe,District Court Judge - 18th Judicial District - White,"No, Yes"
Arapahoe,East Smoky Hill Metropolitan District No. 2 Ballot Issue 6E,"No/Against, Yes/For"
Arapahoe,East Smoky Hill Metropolitan District No. 2 Ballot Question 6F,"No/Against, Yes/For"
Arapahoe,Governor/Lieutenant Governor,"Danielle Neuschwanger / Darryl Gibbs, Heidi Ganahl / Danny Moore, Jared Polis / Dianne Primavera, Kevin Ruskusky / Michele Poague, Paul Noël Fiorino / Cynthia Munhos de Aquino Sirianni, Paul Willmon / Kathren May, Zachary Varon / Sean Hoyt"
Arapahoe,City of Littleton Ballot Question 301,"No/Against, Yes/For"
Douglas,City of Littleton Ballot Question 301,"No/Against, Yes/For"
Jefferson,City of Littleton Ballot Question 301,"No/Against, Yes/For"
Arapahoe,Mayor,"Jenn Diffendal, Katy Brown, Russell O. Stewart"
Mesa,Mesa County - Proposition FF (Statutory),"No/Against, Yes/For"
Montezuma,Montezuma County - Proposition 123 (Statutory),"No/Against, Yes/For"
Montrose,Montrose County - Proposition 125 (Statutory),"No/Against, Yes/For"
Ouray,Ouray County - Proposition 123 (Statutory),"No/Against, Yes/For"
Phillips,Phillips County - Proposition GG (Statutory),"No/Against, Yes/For"
Adams,Proposition 121 (Statutory),"No/Against, Yes/For"
Alamosa,Proposition 121 (Statutory),"No/Against, Yes/For"
Arapahoe,Proposition 121 (Statutory),"No/Against, Yes/For"
Jefferson,Regent of the University of Colorado - Congressional District 1,"Amy Naes, Ben Pope, Wanda L. James"
Adams,Regent of the University of Colorado - Congressional District 4,"Frank McNulty, Jack Barrington"
Broomfield,Regional Transportation District Director - District I,Erik Davidson
Grand,Representative to the 118th United States Congress - District 2,"Gary L. Nation, Joe Neguse, Marshall Dawson, Steve Yurash, Tim Wolf"
Jackson,Representative to the 118th United States Congress - District 2,"Gary L. Nation, Joe Neguse, Marshall Dawson, Steve Yurash, Tim Wolf"
Jefferson,Representative to the 118th United States Congress - District 2,"Gary L. Nation, Joe Neguse, Marshall Dawson, Steve Yurash, Tim Wolf"
Arapahoe,Secretary of State,"Amanda Campbell, Bennett Rutledge, Gary Swing, Jan Kok, Jena Griswold, Pam Anderson"
Baca,State Board of Education Member - At Large,"Dan Maloit, Eric Bodenstab, Kathy Plomer, Ryan Van Gundy"
Bent,State Board of Education Member - At Large,"Dan Maloit, Eric Bodenstab, Kathy Plomer, Ryan Van Gundy"
Summit,State Representative - District 13,"David Buckley, Julie McCluskie"
El Paso,State Representative - District 14,"Rob Rogers, Rose Pugliese"
El Paso,State Representative - District 15,"Alvin Sexton, John Kaufman, Scott T. Bottoms"
El Paso,State Representative - District 16,"Dave Donelson, John Hjersman, Stephanie Vigil"
El Paso,State Representative - District 17,"Rachel Inez Stovall, Regina English"
El Paso,State Representative - District 18,"Greg Lauer, Marc Snyder, Shana Black"
Teller,State Representative - District 18,"Greg Lauer, Marc Snyder, Shana Black"
Boulder,State Representative - District 19,"Dan Woog, Jennifer Lea Parenti, Joe Johnson"
Weld,State Representative - District 19,"Dan Woog, Jennifer Lea Parenti, Joe Johnson"
Denver,State Representative - District 2,"Justin Savoy, Stephanie Wheeler, Steven Woodrow"
Phillips,State Senator - District 1,Byron Pelton
Sedgwick,State Senator - District 1,Byron Pelton
Arapahoe,State Treasurer,"Anthony J. Delgado, Dave Young, Lang Sias"
Arapahoe,Tallyn's Reach Metropolitan District No. 2 Ballot Issue 6B,"No/Against, Yes/For"
Arapahoe,Tallyn's Reach Metropolitan District No. 2 Ballot Question 6A,"No/Against, Yes/For"
Arapahoe,Tallyn's Reach Metropolitan District No. 3 Ballot Issue 6D,"No/Against, Yes/For"
Arapahoe,Tallyn's Reach Metropolitan District No. 3 Ballot Question 6C,"No/Against, Yes/For"
Arapahoe,Traditions Metropolitan District Ballot Issue 6G,"No/Against, Yes/For"
Larimer,Representative to the 118th United States Congress - District 2,"Gary L. Nation, Joe Neguse, Marshall Dawson, Steve Yurash, Tim Wolf"
Larimer,North Weld County Water District Ballot Issue 7A,"No/Against, Yes/For"
Clear Creek,Amendment D (Constitutional),"No/Against, Yes/For"
Conejos,Amendment D (Constitutional),"No/Against, Yes/For"
Costilla,Amendment D (Constitutional),"No/Against, Yes/For"
Archuleta,Archuleta County Assessor,Johanna Tully-Elliott
Archuleta,Archuleta County Ballot Issue 1A,"No/Against, Yes/For"
Archuleta,Archuleta County Clerk and Recorder,Kristy Archuleta
Archuleta,Archuleta County Commissioner District 3,"Rachel Suh, Veronica Medina"
Archuleta,Archuleta County Coroner,Brandon L. Bishop
Archuleta,Archuleta County Court Judge - Fay,"No, Yes"
Archuleta,Archuleta County Sheriff,"Mike Le Roux, Monica A. Medina, Wayne Bryant"
Archuleta,Archuleta County Surveyor,Ron Sutcliffe
Archuleta,Archuleta County Treasurer,Elsa P. White
Archuleta,Attorney General,"John Kellner, Phil Weiser, Stanley Thorne, William F. Robinson III"
Gilpin,Colorado Court of Appeals Judge - Brown,"No, Yes"
