county_name,contest_name,choice,votes
Adams,United States Senator,Michael Bennet,90483
Adams,United States Senator,Joe O'Dea,63586
Adams,United States Senator,Brian Peotter,2992
Adams,United States Senator,T.J. Cole,1445
Adams,United States Senator,Frank Atwood,781
Adams,United States Senator,Tom Harvey,1
Adams,United States Senator,Joanne Rock,0
Adams,United States Senator,John Carleton Rutledge,0
Adams,United States Senator,Robert Messman,0
Adams,Representative to the 118th United States Congress - District 4,Ken Buck,4185
Adams,Representative to the 118th United States Congress - District 4,Ike McCorkle,1192
Adams,Representative to the 118th United States Congress - District 4,Ryan McGonigal,173
Adams,Representative to the 118th United States Congress - District 6,Jason Crow,6481
Adams,Representative to the 118th United States Congress - District 6,Steven Monahan,2265
Adams,Representative to the 118th United States Congress - District 6,Eric C. Mulder,234
Adams,Representative to the 118th United States Congress - District 7,Brittany Pettersen,822
Adams,Representative to the 118th United States Congress - District 7,Erik Aadland,376
Adams,Representative to the 118th United States Congress - District 7,Ross Klopf,19
Adams,Representative to the 118th United States Congress - District 7,Critter Milton,7
Adams,Representative to the 118th United States Congress - District 7,JP Lujan,1
Adams,Representative to the 118th United States Congress - District 8,Yadira Caraveo,78113
Adams,Representative to the 118th United States Congress - District 8,Barbara Kirkmeyer,57856
Adams,Representative to the 118th United States Congress - District 8,Richard Ward,5684
Adams,Representative to the 118th United States Congress - District 8,Tim Long,61
Adams,Governor/Lieutenant Governor,Jared Polis / Dianne Primavera,99625
Adams,Governor/Lieutenant Governor,Heidi Ganahl / Danny Moore,63960
Adams,Governor/Lieutenant Governor,Kevin Ruskusky / Michele Poague,2184
Adams,Governor/Lieutenant Governor,Danielle Neuschwanger / Darryl Gibbs,1315
Adams,Governor/Lieutenant Governor,Paul Noël Fiorino / Cynthia Munhos de Aquino Sirianni,534
Adams,Governor/Lieutenant Governor,Zachary Varon / Sean Hoyt,5
Adams,Governor/Lieutenant Governor,Paul Willmon / Kathren May,1
Adams,Secretary of State,Jena Griswold,93937
Adams,Secretary of State,Pam Anderson,67217
Adams,Secretary of State,Bennett Rutledge,2644
Adams,Secretary of State,Amanda Campbell,1358
Adams,Secretary of State,Gary Swing,1044
Adams,Secretary of State,Jan Kok,325
Adams,State Treasurer,Dave Young,91273
Adams,State Treasurer,Lang Sias,66531
Adams,State Treasurer,Anthony J. Delgado,6901
Adams,Attorney General,Phil Weiser,91442
Adams,Attorney General,John Kellner,68357
Adams,Attorney General,William F. Robinson III,4214
Adams,Attorney General,Stanley Thorne,61
Adams,State Board of Education Member - At Large,Kathy Plomer,89487
Adams,State Board of Education Member - At Large,Dan Maloit,66804
Adams,State Board of Education Member - At Large,Ryan Van Gundy,5014
Adams,State Board of Education Member - At Large,Eric Bodenstab,1377
Adams,State Board of Education Member - Congressional District 6,Rebecca McClellan,6304
Adams,State Board of Education Member - Congressional District 6,Molly Lamar,2568
Adams,State Board of Education Member - Congressional District 8,Rhonda Solis,81227
Adams,State Board of Education Member - Congressional District 8,Peggy Propst,61388
Adams,State Board of Education Member - Congressional District 8,James K Treibert,3161
Adams,Regent of the University of Colorado - Congressional District 4,Frank McNulty,4186
Adams,Regent of the University of Colorado - Congressional District 4,Jack Barrington,1207
Adams,Regent of the University of Colorado - Congressional District 8,Yolanda Ortega,78021
Adams,Regent of the University of Colorado - Congressional District 8,Mark VanDriel,63595
Adams,State Senator - District 24,Kyle Mullica,30008
Adams,State Senator - District 24,Courtney Potter,24184
Adams,State Senator - District 24,Donald Osborn,1569
Adams,State Senator - District 25,Faith Winter,20569
Adams,State Senator - District 25,Melody Peotter,13786
Adams,State Representative - District 24,Lindsey N. Daugherty,844
Adams,State Representative - District 24,Bill Patterson,400
Adams,State Representative - District 29,Shannon Bird,12394
