contest_name,choice,votes
Academy School District 20 Director,Will Temby,16971
Academy School District 20 Director,Heather Cloninger,13506
Academy School District 20 Director,Aaron Salt,11543
Adams-Arapahoe School District 28J Board of Directors - At Large,Vicki Reinhard,19141
Adams-Arapahoe School District 28J Board of Directors - At Large,Stephanie Mason,17071
Adams-Arapahoe School District 28J Board of Directors - At Large,Nichelle Ortiz,15454
Adams-Arapahoe School District 28J Board of Directors - At Large,Amber Drevon,14702
Adams-Arapahoe School District 28J Board of Directors - At Large,Barbara Yamrick,10546
Adams County School District 14 Board Of Education,Renee N. Lovato,1887
Adams County School District 14 Board Of Education,Ramona Lewis,1844
Adams County School District 14 Board Of Education,Regina Hurtado,1618
Adams County School District 14 Board Of Education,Harvest Thomas,1594
Adams County School District 14 Board Of Education,Adrian C. Schimpf,1241
Aims College District Trustee - District A,Heidi Windell,38560
Aims College District Trustee - District B,Mark Hout,31220
Aims College District Trustee - District B,"Andres G. Guerrero, Jr.",11451
Aims College District Trustee - District B,Andres G. Guerrero Jr.,0
Aims College District Trustee - District E,Lyle Achziger,24475
Aims College District Trustee - District E,Genevieve Canales,18346
Alamosa School District RE-11J Director - District 1,Eli Heredia,1946
Alamosa School District RE-11J Director - District 1,Justin Rilling,1223
Alamosa School District RE-11J Director - District 2,April Gonzales,1715
Alamosa School District RE-11J Director - District 2,Jan Desautell,1504
Alamosa School District RE-11J Director - District 5,Michael Mumper,2577
Alamosa School District RE-11J Director - District 6,Katrina Brown,2625
Animas Mosquito Control District Ballot Issue 6B,Yes/for,3395
Animas Mosquito Control District Ballot Issue 6B,No/against,2983
Animas Mosquito Control District Ballot Question 6C,No/against,3661
Animas Mosquito Control District Ballot Question 6C,Yes/for,2571
Arapahoe County Ballot Issue 1A,No/against,105789
Arapahoe County Ballot Issue 1A,Yes/for,52938
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Robert Reichardt,16729
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Lindley Mccrary,13557
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Jessica Roe,9902
Arapahoe County School District #6 Littleton Public Schools School Director - At Large,Christine Copp,8016
Arapahoe Park and Recreation District Ballot Issue 6A,No/against,7643
Arapahoe Park and Recreation District Ballot Issue 6A,Yes/for,6653
Arriba-Flagler Consolidated School District #20 Director,K. Renae Saffer,391
Arriba-Flagler Consolidated School District #20 Director,Jonathan Hart,340
Arriba-Flagler Consolidated School District #20 Director,Janelle Kountz,333
Arriba-Flagler Consolidated School District #20 Director,Allen Bell,274
Aspen School District School Board Director,Jonathan Nickell,1557
Aspen School District School Board Director,Katy Frisch,1530
Aspen School District School Board Director,Jim Pomeroy,932
Aspen School District School Board Director,John Galambos,835
Aspen School District School Board Director,Bettina Slusar,701
Aspen School District School Board Director,Patsy Kurkulis,414
Aspen Valley Hospital District Ballot Issue 6A,Yes/for,3426
Aspen Valley Hospital District Ballot Issue 6A,No/against,1264
Bayfield School District 10 Jt-R School Board Director - 2 year term,Mary Lynn Herr,1280
Bayfield School District 10 Jt-R School Board Director - 2 year term,Matthew Zabka,1151
Bayfield School District 10 Jt-R School Board Director - 4 year term,Mike Foutz,1849
Bayfield School District 10 Jt-R School Board Director - 4 year term,Amy Davlin,1615
Bayfield School District 10 Jt-R School Board Director - 4 year term,Debbie Wilhelm,1562
Bayfield School District 10 Jt-R School Board Director - 4 year term,Richard T. Gustafson,1265
Bennett School District 29J Ballot Issue 5B,No/against,1321
Bennett School District 29J Ballot Issue 5B,Yes/for,949
Bennett School District 29J School Director - At Large,Melissa Walkup,1161
Bennett School District 29J School Director - At Large,Dennis E. Smialek,960
Bennett School District 29J School Director - At Large,Nancy Barden,890
Bennett School District 29J School Director - At Large,Amy Kirkwood,827
Bennett School District 29J School Director - At Large,Debra Brunner,825
Bethune School District R-5 Ballot Issue 4A,Yes/for,117
Bethune School District R-5 Ballot Issue 4A,No/against,110
Bethune School District R-5 Directors - 2 Year Term,Mark Beringer,131
Bethune School District R-5 Directors - 2 Year Term,Shawna Calhoon,101
Bethune School District R-5 Directors - 2 Year Term,Mary Ann Harrel,98
Bethune School District R-5 Directors - 4 Year Term,Scott Powell,150
Bethune School District R-5 Directors - 4 Year Term,Eric Ziegler,139
Boulder County Question 1A,Yes/for,57630
Boulder County Question 1A,No/against,49453
Boulder Valley School District RE-2 Director - District A,Lisa Sweeney-marin,40416
Boulder Valley School District RE-2 Director - District A,Jai Rajagopal,16040
Boulder Valley School District RE-2 Director - District C,Kathy Gebhardt,49947
Boulder Valley School District RE-2 Director - District D,Stacey Zis,41743
Boulder Valley School District RE-2 Director - District D,Connor Bunting,8564
Boulder Valley School District RE-2 Director - District G,Richard L. Garcia,48716
Brook Forest Water District Ballot Issue 6A,Yes/for,191
Brook Forest Water District Ballot Issue 6A,No/against,109
Buena Vista School District R-31 Director - At Large - Four Year Term,Tracy Storms,1985
Buena Vista School District R-31 Director - At Large - Four Year Term,Brett Mitchell,1826
Buena Vista School District R-31 Director - At Large - Two Year Term,Jessica Crites,1792
Buena Vista School District R-31 Director - At Large - Two Year Term,Nancy Best,1081
Buena Vista School District R-31 Director - District A,Stacey Moss,2152
Buena Vista School District R-31 Director - District A,Nathaniel Weeks,731
Buena Vista School District R-31 Director - District C,Suzette Hachmann,2552
Burlington School District Re-6J Ballot Issue 5B,Yes/for,894
Burlington School District Re-6J Ballot Issue 5B,No/against,410
Burlington School District RE-6J Directors,Dustin Skarphol,878
Burlington School District RE-6J Directors,Wade Wollert,844
Burlington School District RE-6J Directors,Steven Neal,668
Burlington School District RE-6J Directors,Brandi Baquera,651
Byers Fire Protection District Ballot Issue 7B,Yes/for,456
Byers Fire Protection District Ballot Issue 7B,No/against,445
Byers Fire Protection District Ballot Issue 7C,No/against,535
Byers Fire Protection District Ballot Issue 7C,Yes/for,358
Byers Fire Protection District Ballot Issue 7D,Yes/for,485
Byers Fire Protection District Ballot Issue 7D,No/against,409
Byers School District 32J School Board Director,Dennis Messer,542
Byers School District 32J School Board Director,Matt Eymann,518
Byers School District 32J School Board Director,Eva Todd Pugh,487
Byers School District 32J School Board Director,Allison Harris,460
Byers School District 32J School Board Director,Terri L. Bryant,417
Calhan School District RJ1 Ballot Issue 5B,No/against,673
Calhan School District RJ1 Ballot Issue 5B,Yes/for,377
Calhan School District RJ1 Board of Education Director - Four Year Term,Scott Mikita,679
Calhan School District RJ1 Board of Education Director - Four Year Term,Kevin Acre,461
Calhan School District RJ1 Board of Education Director - Two Year Term,Andrea Fowler,575
Calhan School District RJ1 Board of Education Director - Two Year Term,Chance Manyik,491
Calhan School District RJ1 Board of Education Director - Two Year Term,Krystalynn Manyik,284
Cedar Hill Cemetery District Issue 6A,Yes,514
Cedar Hill Cemetery District Issue 6A,No,265
Centennial School District R-1 School Board - District 1,Christopher Rodriguez,282
Centennial School District R-1 School Board - District 1,Michael Ramirez,181
Centennial School District R-1 School Board - District 5,Dwight Mondragon,325
Cheraw School District 31 School Board Member - At Large,Travis Matthew,244
Cheraw School District 31 School Board Member - At Large,Caitlin Killarney Hansen,223
Cheraw School District 31 School Board Member - At Large,David Howard,127
