county_id,county_name,contest_name,contest_id
1,Adams,City of Arvada Mayor,1185118
1,Adams,City of Arvada Council Member At-Large,1185120
1,Adams,City of Arvada Council Member District 2,1185122
1,Adams,City of Aurora Mayor,1185124
1,Adams,City of Aurora Council Member At-Large,1185126
1,Adams,City of Brighton Councilmember Ward 1,1185128
1,Adams,City of Brighton Councilmember Ward 2,1185130
1,Adams,City of Brighton Councilmember Ward 3,1185132
1,Adams,City of Brighton Councilmember Ward 4,1185134
1,Adams,City of Commerce City Mayor,1185136
1,Adams,City of Commerce City Councilmember - Ward 2,1185138
1,Adams,City of Commerce City Councilmember - Ward 3,1185140
1,Adams,City of Commerce City Councilmember - Ward 4,1185142
1,Adams,City of Commerce City Councilmember - At Large,1185144
1,Adams,City of Northglenn Mayor,1185146
1,Adams,City of Northglenn Council Member - Ward 1,1185148
1,Adams,City of Northglenn Council Member - Ward 2,1185150
1,Adams,City of Northglenn Council Member - Ward 3 - 4 Year,1185152
1,Adams,City of Northglenn Council Member - Ward 3 - 2 Year,1185154
1,Adams,City of Northglenn Council Member - Ward 4 - 4 Year,1185156
1,Adams,City of Northglenn Council Member - Ward 4 - 2 Year,1185158
1,Adams,City of Thornton Mayor,1185160
1,Adams,City of Thornton Council Member - Ward 1,1185162
1,Adams,City of Thornton Council Member - Ward 2,1185164
1,Adams,City of Thornton Council Member - Ward 3,1185166
1,Adams,City of Thornton Council Member - Ward 4,1185168
1,Adams,City of Westminster Council Members,1185170
1,Adams,Adams 12 Five Star School District Director District No 1,1185172
1,Adams,Adams 12 Five Star School District Director District No 2,1185174
1,Adams,Adams 12 Five Star School District Director District No 5,1185176
1,Adams,Adams-Arapahoe School District 28J Board of Directors,1185178
1,Adams,Bennett School District 29J School Director at Large,1185180
1,Adams,Byers School District 32J School Board Director,1185182
1,Adams,Deer Trail School District 26J Director of the Board of Education - 4 Year,1185184
1,Adams,Deer Trail School District 26J Director of the Board of Education - 2 Year,1185186
1,Adams,Brighton School District 27J Board of Education Director District No. 1,1185188
1,Adams,Brighton School District 27J Board of Education Director District No. 3,1185190
1,Adams,Brighton School District 27J Board of Education Director District No. 6,1185192
1,Adams,Brighton School District 27J Board of Education Director District No. 7,1185194
1,Adams,Strasburg School District 31J School Board Director,1185196
1,Adams,Westminster Board Of Education,1185198
1,Adams,Aims Community College Trustee District A,1185200
1,Adams,Aims Community College Trustee District B,1185202
1,Adams,Aims Community College Trustee District E,1185204
1,Adams,Proposition HH (Statutory),1185206
1,Adams,Proposition II (Statutory),1185208
1,Adams,City of Aurora Ballot Question 3A,1185210
1,Adams,City of Aurora Ballot Question 3B,1185212
1,Adams,City of Aurora Ballot Question 3C,1185214
1,Adams,City of Aurora Ballot Question 3D,1185216
1,Adams,City of Brighton Ballot Issue 3F,1185218
1,Adams,City of Commerce City Ballot Question 3Q,1185220
1,Adams,City of Commerce City Ballot Question 3R,1185222
1,Adams,City of Commerce City Ballot Question 3S,1185224
1,Adams,City of Commerce City Ballot Question 3T,1185226
1,Adams,Town of Lochbuie Ballot Question 3I,1185228
1,Adams,City of Northglenn Ballot Issue 3G,1185230
1,Adams,City of Northglenn Ballot Question 3H,1185232
1,Adams,City of Westminster Ballot Question 3L,1185234
1,Adams,City of Westminster Ballot Question 3M,1185236
1,Adams,City of Westminster Ballot Question 3N,1185238
1,Adams,City of Westminster Ballot Question 3O,1185240
1,Adams,City of Westminster Ballot Question 3P,1185242
